TF,LogFC,LogDHT,LogFC_mut
CENPB,+,+,+
FOXA1,+,+,+
FOXM1,+,+,+
SPDEF,+,+,+
ZNF740,+,+,+
AR,+,-,+
ARID1A,+,-,+
NFIA,+,-,+
ATF7,+,ns,+
HOXB13,+,ns,+
NFIC,+,ns,+
ZBTB16,+,ns,+
ATF4,-,+,+
BACH1,-,+,+
E4F1,-,+,+
IRF2,-,+,+
NFE2L1,-,+,+
NFE2L2,-,+,+
SOX4,-,+,+
ZBTB11,-,+,+
ZFP91,-,+,+
ZFX,-,+,+
GATA2,-,-,+
RREB1,-,-,+
STAT5B,-,-,+
GMEB1,-,ns,+
JUN,-,ns,+
ZNF266,-,ns,+
ZNF302,-,ns,+
ATF3,ns,+,+
CREB3L4,ns,+,+
FOXN3,ns,+,+
GMEB2,ns,+,+
GRHL2,ns,+,+
LRRFIP1,ns,+,+
MEF2A,ns,+,+
RBAK,ns,+,+
STAT1,ns,+,+
TFEB,ns,+,+
ZNF213,ns,+,+
ZNF282,ns,+,+
ZNF431,ns,+,+
ZNF664,ns,+,+
HMGA1,ns,-,+
NFIX,ns,-,+
PKNOX1,ns,-,+
TFE3,ns,-,+
ZNF75A,ns,-,+
FOXJ2,ns,ns,+
JDP2,ns,ns,+
MEF2D,ns,ns,+
NFIB,ns,ns,+
NFKB1,ns,ns,+
NR2F2,ns,ns,+
ZBTB37,ns,ns,+
ZBTB42,ns,ns,+
ZNF410,ns,ns,+
ZNF567,ns,ns,+
ZNF680,ns,ns,+
ZNF85,ns,ns,+
ZNF875,ns,ns,+
NFATC3,+,+,-
DDIT3,+,-,-
RARG,+,-,-
ZNF274,+,-,-
FOXK2,+,ns,-
ZNF467,+,ns,-
ZNF264,-,-,-
ZNF7,-,-,-
MNX1,-,ns,-
PKNOX2,-,ns,-
ELF2,ns,+,-
ETV3,ns,+,-
MXI1,ns,+,-
NR2F6,ns,+,-
ZBTB7A,ns,+,-
ZFP64,ns,+,-
ZNF766,ns,+,-
BCL6,ns,-,-
FOXK1,ns,-,-
MAX,ns,-,-
OVOL2,ns,-,-
TBX1,ns,-,-
TBX3,ns,-,-
ZNF362,ns,-,-
BHLHA15,ns,ns,-
HSF2,ns,ns,-
MGA,ns,ns,-
NFYA,ns,ns,-
NFYC,ns,ns,-
NR2C1,ns,ns,-
SMAD5,ns,ns,-
USF2,ns,ns,-
ZNF3,ns,ns,-
ZNF524,ns,ns,-
ZNF605,ns,ns,-
ZSCAN16,ns,ns,-
FOXO3,+,+,ns
TGIF1,+,+,ns
ZBED4,+,+,ns
ZNF343,+,+,ns
CREM,+,-,ns
CTCF,+,-,ns
ESRRA,+,-,ns
MESP1,+,-,ns
NR4A1,+,-,ns
PRDM4,+,-,ns
ZNF506,+,-,ns
ZNF614,+,-,ns
ZNF791,+,-,ns
ELF3,+,ns,ns
FOXP1,+,ns,ns
FOXP4,+,ns,ns
HIF1A,+,ns,ns
KLF11,+,ns,ns
PPARD,+,ns,ns
REST,+,ns,ns
SMAD2,+,ns,ns
SOX13,+,ns,ns
SP1,+,ns,ns
TBP,+,ns,ns
TFAP4,+,ns,ns
THRB,+,ns,ns
USF1,+,ns,ns
ZFP41,+,ns,ns
ZNF263,+,ns,ns
ZNF276,+,ns,ns
ZNF32,+,ns,ns
ZNF429,+,ns,ns
ZNF585A,+,ns,ns
ZNF707,+,ns,ns
CEBPB,-,+,ns
CEBPG,-,+,ns
FOSL2,-,+,ns
IRF7,-,+,ns
JUND,-,+,ns
KLF16,-,+,ns
KLF4,-,+,ns
NFAT5,-,+,ns
NR1H2,-,+,ns
NRF1,-,+,ns
SMAD4,-,+,ns
STAT2,-,+,ns
TAF1,-,+,ns
TCF12,-,+,ns
TEF,-,+,ns
THAP1,-,+,ns
TP53,-,+,ns
YY1,-,+,ns
ZBTB45,-,+,ns
ZFP90,-,+,ns
