TF,Distinct_to,Sign
IRF3,LogDHT,+
NFATC3,LogDHT,+
TGIF1,LogDHT,+
ZNF12,LogDHT,+
ZNF343,LogDHT,+
ZNF354A,LogDHT,+
ZNF528,LogDHT,+
ZNF613,LogDHT,+
ATF6,LogEtOH,+
CREB3,LogEtOH,+
CREB3L2,LogEtOH,+
ELK1,LogEtOH,+
ELK4,LogEtOH,+
KLF10,LogEtOH,+
MGA,LogEtOH,+
PKNOX2,LogEtOH,+
ZBTB42,LogEtOH,+
HES6,LogDHT,-
MAX,LogDHT,-
MNT,LogDHT,-
ZNF558,LogDHT,-
ZNF74,LogDHT,-
ZNF768,LogDHT,-
ZNF776,LogDHT,-
FOXP1,LogEtOH,-
SMAD2,LogEtOH,-
SOX13,LogEtOH,-
TBP,LogEtOH,-
THRB,LogEtOH,-
ZBTB16,LogEtOH,-
ZFP41,LogEtOH,-
ZNF263,LogEtOH,-
ZNF429,LogEtOH,-
ZNF605,LogEtOH,-
ZNF701,LogEtOH,-
