TF,LogFC,LogDHT,LogEtOH
CENPB,+,+,+
FOXA1,+,+,+
FOXM1,+,+,+
FOXO3,+,+,+
SPDEF,+,+,+
ZNF322,+,+,+
ZNF740,+,+,+
ZNF766,+,+,+
SP1,+,+,ns
TGIF1,+,+,ns
ZNF343,+,+,ns
AR,+,-,-
ARID1A,+,-,-
CREM,+,-,-
CTCF,+,-,-
DDIT3,+,-,-
ESRRA,+,-,-
MESP1,+,-,-
NFIA,+,-,-
NR4A1,+,-,-
PRDM4,+,-,-
RARG,+,-,-
SP3,+,-,-
ZNF274,+,-,-
ZNF506,+,-,-
ZNF614,+,-,-
ZNF791,+,-,-
SMAD2,+,ns,-
SOX13,+,ns,-
TBP,+,ns,-
THRB,+,ns,-
ZBTB16,+,ns,-
ZFP41,+,ns,-
ZNF263,+,ns,-
ZNF429,+,ns,-
ATF7,+,ns,ns
ELF3,+,ns,ns
FOXK2,+,ns,ns
FOXP1,+,ns,ns
FOXP4,+,ns,ns
HIF1A,+,ns,ns
HOXB13,+,ns,ns
KLF11,+,ns,ns
MLX,+,ns,ns
NFIC,+,ns,ns
NFKB1,+,ns,ns
PPARD,+,ns,ns
REST,+,ns,ns
USF1,+,ns,ns
ZNF276,+,ns,ns
ZNF467,+,ns,ns
ZNF714,+,ns,ns
ATF4,-,+,+
BACH1,-,+,+
CEBPB,-,+,+
CEBPG,-,+,+
E4F1,-,+,+
FOSL2,-,+,+
IRF2,-,+,+
IRF7,-,+,+
JUND,-,+,+
KLF16,-,+,+
NFAT5,-,+,+
NFE2L1,-,+,+
NFE2L2,-,+,+
NR1H2,-,+,+
NRF1,-,+,+
SMAD4,-,+,+
SOX4,-,+,+
STAT2,-,+,+
TAF1,-,+,+
TCF12,-,+,+
TEF,-,+,+
THAP1,-,+,+
TP53,-,+,+
YY1,-,+,+
ZBTB11,-,+,+
ZBTB45,-,+,+
ZFP90,-,+,+
ZFP91,-,+,+
ZFX,-,+,+
ZNF143,-,+,+
ZNF610,-,+,+
CLOCK,-,-,-
MNT,-,-,-
MXD4,-,-,-
NKX3-1,-,-,-
RREB1,-,-,-
STAT5B,-,-,-
VEZF1,-,-,-
ZNF264,-,-,-
ZNF384,-,-,-
ZNF623,-,-,-
ZNF7,-,-,-
ZNF768,-,-,-
ZNF787,-,-,-
DBP,-,-,ns
ZNF558,-,-,ns
ELK1,-,ns,+
ELK4,-,ns,+
GMEB1,-,ns,+
KLF4,-,ns,+
MGA,-,ns,+
PKNOX2,-,ns,+
ZNF793,-,ns,+
HMBOX1,-,ns,ns
IRF6,-,ns,ns
JUN,-,ns,ns
MNX1,-,ns,ns
MZF1,-,ns,ns
NFKB2,-,ns,ns
SP2,-,ns,ns
SREBF1,-,ns,ns
SRF,-,ns,ns
ZNF266,-,ns,ns
ZNF302,-,ns,ns
ATF1,ns,+,+
ATF2,ns,+,+
ATF3,ns,+,+
CREB1,ns,+,+
CREB3,ns,+,+
CREB3L4,ns,+,+
ERF,ns,+,+
ETV3,ns,+,+
FOXN3,ns,+,+
GMEB2,ns,+,+
GRHL2,ns,+,+
HINFP,ns,+,+
KMT2A,ns,+,+
LRRFIP1,ns,+,+
MAFG,ns,+,+
MEF2A,ns,+,+
MXI1,ns,+,+
MYBL2,ns,+,+
MYC,ns,+,+
NFATC3,ns,+,+
NR2F6,ns,+,+
RBAK,ns,+,+
RELA,ns,+,+
RFX5,ns,+,+
RFX7,ns,+,+
STAT1,ns,+,+
TCFL5,ns,+,+
TFAP2C,ns,+,+
TFEB,ns,+,+
THAP11,ns,+,+
UBP1,ns,+,+
XBP1,ns,+,+
ZBED4,ns,+,+
ZBTB33,ns,+,+
ZBTB42,ns,+,+
ZBTB44,ns,+,+
ZBTB7A,ns,+,+
ZFP64,ns,+,+
ZIK1,ns,+,+
ZNF148,ns,+,+
ZNF160,ns,+,+
