Chromosome,Start,End,Name
chr1,2342086,2342786,peakno_2800-ARBS
chr1,4789980,4790680,peakno_590-ARBS
chr1,5554368,5555068,peakno_591-ARBS
chr1,5787188,5787888,peakno_592-ARBS
chr1,8130666,8131366,overlapped_read_626-ARBS
chr1,8262407,8263107,onlynormal_read_253-ARBS
chr1,8319104,8319804,overlapped_read_627-ARBS
chr1,8326600,8327300,peakno_593-ARBS
chr1,8372120,8372820,peakno_594-ARBS
chr1,8472306,8473006,peakno_595-ARBS
chr1,8690069,8690769,peakno_596-ARBS
chr1,9061892,9062592,peakno_1744-ARBS
chr1,9444604,9445304,overlapped_read_628-ARBS
chr1,9496168,9496868,overlapped_read_629-ARBS
chr1,9613610,9614310,peakno_597-ARBS
chr1,9875054,9875754,peakno_598-ARBS
chr1,9903362,9904062,peakno_599-ARBS
chr1,10169242,10169942,peakno_600-ARBS
chr1,10576004,10576704,peakno_601-ARBS
chr1,10695856,10696556,onlynormal_read_254-ARBS
chr1,11316093,11316793,peakno_637-ARBS
chr1,11629514,11630214,peakno_638-ARBS
chr1,11791804,11792504,peakno_846-ARBS
chr1,12441116,12441816,peakno_639-ARBS
chr1,12535810,12536510,peakno_641-ARBS
chr1,12556322,12557022,peakno_642-ARBS
chr1,13946235,13946935,overlapped_read_630-ARBS
chr1,14825192,14825892,peakno_644-ARBS
chr1,15064597,15065297,overlapped_read_631-ARBS
chr1,18790741,18791441,peakno_651-ARBS
chr1,19406239,19406939,peakno_736-ARBS
chr1,19753582,19754282,overlapped_read_633-ARBS
chr1,19831132,19831832,peakno_739-ARBS
chr1,19840872,19841572,peakno_740-ARBS
chr1,19933596,19934296,peakno_741-ARBS
chr1,20102648,20103348,peakno_742-ARBS
chr1,20358778,20359478,overlapped_read_634-ARBS
chr1,20667845,20668545,peakno_1013-ARBS
chr1,21348632,21349332,peakno_1014-ARBS
chr1,21578348,21579048,peakno_1015-ARBS
chr1,21658506,21659206,overlapped_read_454-ARBS
chr1,22270714,22271414,peakno_1019-ARBS
chr1,22674697,22675397,peakno_1020-ARBS
chr1,24111128,24111828,peakno_1026-ARBS
chr1,24310804,24311504,peakno_1027-ARBS
chr1,24669985,24670685,peakno_1028-ARBS
chr1,24711083,24711783,peakno_1029-ARBS
chr1,25358678,25359378,peakno_1032-ARBS
chr1,25785174,25785874,overlapped_read_455-ARBS
chr1,25827385,25828085,peakno_1036-ARBS
chr1,26406416,26407116,peakno_1042-ARBS
chr1,27693220,27693920,onlynormal_read_189-ARBS
chr1,28400204,28400904,peakno_1046-ARBS
chr1,28764415,28765115,onlynormal_read_190-ARBS
chr1,29074553,29075253,peakno_1047-ARBS
chr1,30178963,30179663,peakno_1048-ARBS
chr1,31148437,31149137,peakno_1052-ARBS
chr1,31261268,31261968,overlapped_read_458-ARBS
chr1,31731222,31731922,peakno_1053-ARBS
chr1,32967392,32968092,overlapped_read_459-ARBS
chr1,33232624,33233324,peakno_1427-ARBS
chr1,33476526,33477226,peakno_1428-ARBS
chr1,33947816,33948516,peakno_1429-ARBS
chr1,34125324,34126024,peakno_1437-ARBS
chr1,34152510,34153210,peakno_1438-ARBS
chr1,34224170,34224870,overlapped_read_461-ARBS
chr1,36320704,36321404,peakno_1439-ARBS
chr1,36626984,36627684,peakno_1440-ARBS
chr1,36665546,36666246,overlapped_read_462-ARBS
chr1,36697842,36698542,peakno_1452-ARBS
chr1,36705228,36705928,peakno_1453-ARBS
chr1,36734681,36735381,peakno_1454-ARBS
chr1,36762483,36763183,peakno_1455-ARBS
chr1,37964658,37965358,peakno_1456-ARBS
chr1,37999820,38000520,peakno_1457-ARBS
chr1,38660260,38660960,peakno_1466-ARBS
chr1,39813806,39814506,peakno_1473-ARBS
chr1,40009891,40010591,peakno_1474-ARBS
chr1,41939881,41940581,onlynormal_read_193-ARBS
chr1,42415902,42416602,peakno_1490-ARBS
chr1,42805645,42806345,peakno_1491-ARBS
chr1,44223238,44223938,peakno_361-ARBS
chr1,46292695,46293395,peakno_364-ARBS
chr1,47147268,47147968,peakno_367-ARBS
chr1,48429080,48429780,overlapped_read_502-ARBS
chr1,48918332,48919032,peakno_373-ARBS
chr1,49798434,49799134,peakno_374-ARBS
chr1,49812330,49813030,peakno_375-ARBS
chr1,51584814,51585514,peakno_379-ARBS
chr1,51932445,51933145,peakno_380-ARBS
chr1,52025320,52026020,peakno_381-ARBS
chr1,52033128,52033828,peakno_382-ARBS
chr1,52046865,52047565,peakno_383-ARBS
chr1,52414107,52414807,overlapped_read_503-ARBS
chr1,52422354,52423054,peakno_387-ARBS
chr1,54129093,54129793,onlynormal_read_204-ARBS
chr1,55346606,55347306,peakno_561-ARBS
chr1,55348064,55348764,peakno_562-ARBS
chr1,55353844,55354544,peakno_563-ARBS
chr1,55370169,55370869,overlapped_read_504-ARBS
chr1,55452938,55453638,peakno_564-ARBS
chr1,55929358,55930058,onlynormal_read_206-ARBS
chr1,56046356,56047056,overlapped_read_507-ARBS
chr1,56072312,56073012,peakno_565-ARBS
chr1,56159918,56160618,peakno_566-ARBS
chr1,56431346,56432046,peakno_569-ARBS
chr1,56838078,56838778,peakno_570-ARBS
chr1,56863468,56864168,peakno_656-ARBS
chr1,57253714,57254414,overlapped_read_510-ARBS
chr1,58192542,58193242,peakno_658-ARBS
chr1,58648764,58649464,peakno_663-ARBS
chr1,58760318,58761018,peakno_666-ARBS
chr1,59536826,59537526,peakno_669-ARBS
chr1,59707914,59708614,onlynormal_read_208-ARBS
chr1,59982356,59983056,peakno_670-ARBS
chr1,60061361,60062061,peakno_671-ARBS
chr1,60097086,60097786,overlapped_read_512-ARBS
chr1,60151750,60152450,peakno_678-ARBS
chr1,60209058,60209758,overlapped_read_514-ARBS
chr1,60740294,60740994,peakno_685-ARBS
chr1,60893748,60894448,overlapped_read_515-ARBS
chr1,61038576,61039276,peakno_686-ARBS
chr1,61598601,61599301,peakno_687-ARBS
chr1,61818922,61819622,peakno_692-ARBS
chr1,62103870,62104570,overlapped_read_516-ARBS
chr1,62106158,62106858,peakno_1076-ARBS
chr1,64253496,64254196,peakno_1077-ARBS
chr1,64394253,64394953,overlapped_read_546-ARBS
chr1,65363600,65364300,onlynormal_read_224-ARBS
chr1,65949893,65950593,peakno_1083-ARBS
chr1,65959415,65960115,peakno_1084-ARBS
chr1,66023482,66024182,peakno_1085-ARBS
chr1,66387008,66387708,peakno_1086-ARBS
chr1,67170541,67171241,peakno_1087-ARBS
chr1,67333032,67333732,peakno_868-ARBS
chr1,67656000,67656700,peakno_1088-ARBS
chr1,68773554,68774254,peakno_1089-ARBS
chr1,68793044,68793744,overlapped_read_547-ARBS
chr1,69183546,69184246,peakno_1090-ARBS
chr1,69554000,69554700,peakno_1091-ARBS
chr1,69575730,69576430,peakno_1092-ARBS
chr1,76534418,76535118,peakno_1356-ARBS
chr1,77321622,77322322,peakno_1357-ARBS
chr1,77625906,77626606,overlapped_read_549-ARBS
chr1,78262198,78262898,peakno_1360-ARBS
chr1,78463588,78464288,peakno_1361-ARBS
chr1,78966660,78967360,peakno_1362-ARBS
chr1,79015028,79015728,peakno_1363-ARBS
chr1,79092819,79093519,peakno_1364-ARBS
chr1,79353388,79354088,peakno_1366-ARBS
chr1,79756582,79757282,peakno_1370-ARBS
chr1,80857954,80858654,peakno_1371-ARBS
chr1,81233968,81234668,peakno_1372-ARBS
chr1,81277473,81278173,peakno_1374-ARBS
chr1,81699787,81700487,peakno_1375-ARBS
chr1,81988666,81989366,peakno_1376-ARBS
chr1,82025406,82026106,peakno_825-ARBS
chr1,82193504,82194204,peakno_1379-ARBS
chr1,82218272,82218972,peakno_1380-ARBS
chr1,84722538,84723238,peakno_1384-ARBS
chr1,85084824,85085524,overlapped_read_550-ARBS
chr1,85763357,85764057,peakno_1640-ARBS
chr1,85892945,85893645,peakno_1641-ARBS
chr1,86000120,86000820,overlapped_read_553-ARBS
chr1,86899516,86900216,peakno_1642-ARBS
chr1,87336564,87337264,peakno_1800-ARBS
chr1,90018418,90019118,peakno_1962-ARBS
chr1,92025226,92025926,peakno_1811-ARBS
chr1,92191270,92191970,onlynormal_read_227-ARBS
chr1,92210738,92211438,peakno_1813-ARBS
chr1,93340408,93341108,peakno_1814-ARBS
chr1,93967334,93968034,peakno_1816-ARBS
chr1,95209308,95210008,overlapped_read_595-ARBS
chr1,95798129,95798829,peakno_1825-ARBS
chr1,95835754,95836454,overlapped_read_596-ARBS
chr1,96354540,96355240,peakno_1830-ARBS
chr1,98285926,98286626,peakno_2086-ARBS
chr1,98532322,98533022,peakno_2087-ARBS
chr1,98809794,98810494,peakno_2088-ARBS
chr1,98875463,98876163,peakno_2089-ARBS
chr1,98895416,98896116,peakno_2090-ARBS
chr1,100452183,100452883,peakno_2091-ARBS
chr1,100500650,100501350,peakno_2092-ARBS
chr1,100705463,100706163,peakno_2093-ARBS
chr1,100878457,100879157,peakno_2258-ARBS
chr1,100918118,100918818,peakno_2260-ARBS
chr1,100951278,100951978,peakno_2261-ARBS
chr1,105534111,105534811,peakno_2265-ARBS
chr1,108016470,108017170,peakno_2283-ARBS
chr1,108045038,108045738,peakno_2293-ARBS
chr1,108324933,108325633,peakno_2296-ARBS
chr1,108667662,108668362,peakno_1792-ARBS
chr1,110175042,110175742,onlynormal_read_236-ARBS
chr1,110412234,110412934,peakno_2312-ARBS
chr1,110537190,110537890,peakno_2313-ARBS
chr1,110562218,110562918,peakno_2314-ARBS
chr1,111341332,111342032,peakno_2316-ARBS
chr1,112198609,112199309,peakno_2332-ARBS
chr1,112383702,112384402,peakno_2333-ARBS
chr1,112807038,112807738,peakno_1900-ARBS
chr1,112991979,112992679,peakno_1901-ARBS
chr1,114636377,114637077,peakno_1935-ARBS
chr1,115892144,115892844,peakno_1939-ARBS
chr1,116353507,116354207,peakno_1940-ARBS
chr1,116666284,116666984,peakno_1952-ARBS
chr1,116676418,116677118,peakno_1953-ARBS
chr1,116749641,116750341,peakno_1954-ARBS
chr1,116918858,116919558,onlynormal_read_237-ARBS
chr1,116998763,116999463,peakno_1957-ARBS
chr1,117018834,117019534,overlapped_read_599-ARBS
chr1,118105060,118105760,peakno_1958-ARBS
chr1,118874992,118875692,peakno_1966-ARBS
chr1,120084946,120085646,peakno_1969-ARBS
chr1,120168672,120169372,peakno_1970-ARBS
chr1,120180123,120180823,peakno_1971-ARBS
chr1,145427293,145427993,overlapped_read_603-ARBS
chr1,147098378,147099078,peakno_2152-ARBS
chr1,150540432,150541132,onlynormal_read_241-ARBS
chr1,152164150,152164850,peakno_2161-ARBS
chr1,154114606,154115306,peakno_2163-ARBS
chr1,154390562,154391262,overlapped_read_632-ARBS
chr1,154989624,154990324,onlynormal_read_256-ARBS
chr1,156259560,156260260,peakno_2165-ARBS
chr1,156480400,156481100,overlapped_read_636-ARBS
chr1,156586046,156586746,overlapped_read_637-ARBS
chr1,160101626,160102326,overlapped_read_638-ARBS
chr1,161176605,161177305,onlynormal_read_1-ARBS
chr1,161359392,161360092,onlynormal_read_257-ARBS
chr1,161735601,161736301,peakno_2172-ARBS
chr1,162538422,162539122,peakno_2173-ARBS
chr1,162702286,162702986,overlapped_read_639-ARBS
chr1,162843647,162844347,peakno_2178-ARBS
chr1,163586546,163587246,peakno_2273-ARBS
chr1,163985167,163985867,peakno_2274-ARBS
chr1,164840840,164841540,peakno_2284-ARBS
chr1,165038882,165039582,peakno_2285-ARBS
chr1,167094600,167095300,peakno_2288-ARBS
chr1,167105312,167106012,onlynormal_read_258-ARBS
chr1,167158196,167158896,peakno_2289-ARBS
chr1,167766127,167766827,onlynormal_read_259-ARBS
chr1,168662353,168663053,peakno_2292-ARBS
chr1,168830709,168831409,peakno_2303-ARBS
chr1,169478214,169478914,peakno_2304-ARBS
chr1,169479804,169480504,peakno_2320-ARBS
chr1,169537520,169538220,peakno_2321-ARBS
chr1,169541246,169541946,peakno_2322-ARBS
chr1,171313095,171313795,peakno_2326-ARBS
chr1,172715376,172716076,overlapped_read_643-ARBS
chr1,173713684,173714384,peakno_2339-ARBS
chr1,174537538,174538238,peakno_2342-ARBS
chr1,175201431,175202131,peakno_2344-ARBS
chr1,176499903,176500603,peakno_2541-ARBS
chr1,176536406,176537106,peakno_2542-ARBS
chr1,176665190,176665890,peakno_2543-ARBS
chr1,177414146,177414846,peakno_839-ARBS
chr1,177620010,177620710,peakno_2558-ARBS
chr1,177670466,177671166,peakno_2559-ARBS
chr1,178193278,178193978,peakno_2567-ARBS
chr1,178306232,178306932,peakno_2578-ARBS
chr1,179265647,179266347,peakno_2579-ARBS
chr1,180042810,180043510,peakno_2584-ARBS
chr1,180497732,180498432,overlapped_read_645-ARBS
chr1,181328000,181328700,peakno_2598-ARBS
chr1,182186898,182187598,peakno_2610-ARBS
chr1,183029420,183030120,peakno_2624-ARBS
chr1,183058072,183058772,peakno_2625-ARBS
chr1,184047840,184048540,overlapped_read_4-ARBS
chr1,184391874,184392574,overlapped_read_5-ARBS
chr1,184452268,184452968,peakno_1665-ARBS
chr1,184591246,184591946,overlapped_read_6-ARBS
chr1,184726887,184727587,peakno_2638-ARBS
chr1,184805842,184806542,peakno_2639-ARBS
chr1,184874563,184875263,peakno_2640-ARBS
chr1,184898982,184899682,peakno_2824-ARBS
chr1,184980060,184980760,peakno_2825-ARBS
chr1,185127148,185127848,peakno_2826-ARBS
chr1,185311878,185312578,peakno_2827-ARBS
chr1,185485377,185486077,peakno_2828-ARBS
chr1,185503825,185504525,peakno_2829-ARBS
chr1,185665794,185666494,peakno_2839-ARBS
chr1,185674794,185675494,peakno_2840-ARBS
chr1,187245808,187246508,peakno_2844-ARBS
chr1,187806833,187807533,peakno_2846-ARBS
chr1,187940817,187941517,peakno_2847-ARBS
chr1,188138928,188139628,peakno_2848-ARBS
chr1,192465271,192465971,peakno_2877-ARBS
chr1,192660006,192660706,peakno_2878-ARBS
chr1,192813364,192814064,overlapped_read_7-ARBS
chr1,192830822,192831522,overlapped_read_655-ARBS
chr1,197752510,197753210,peakno_161-ARBS
chr1,201250385,201251085,peakno_252-ARBS
chr1,201566875,201567575,peakno_253-ARBS
chr1,201744332,201745032,peakno_256-ARBS
chr1,201886573,201887273,onlynormal_read_261-ARBS
chr1,203434108,203434808,overlapped_read_656-ARBS
chr1,203945210,203945910,peakno_258-ARBS
chr1,204057924,204058624,overlapped_read_657-ARBS
chr1,205667892,205668592,peakno_269-ARBS
chr1,205671984,205672684,peakno_270-ARBS
chr1,205679232,205679932,peakno_271-ARBS
chr1,206768682,206769382,peakno_272-ARBS
chr1,207183196,207183896,peakno_274-ARBS
chr1,207204999,207205699,overlapped_read_658-ARBS
chr1,208057380,208058080,peakno_276-ARBS
chr1,208471852,208472552,peakno_277-ARBS
chr1,211353315,211354015,peakno_456-ARBS
chr1,211647558,211648258,peakno_459-ARBS
chr1,216701987,216702687,peakno_462-ARBS
chr1,217075904,217076604,overlapped_read_671-ARBS
chr1,217699256,217699956,peakno_464-ARBS
chr1,218620203,218620903,onlynormal_read_275-ARBS
chr1,218663570,218664270,peakno_465-ARBS
chr1,218744623,218745323,peakno_466-ARBS
chr1,219334512,219335212,peakno_468-ARBS
chr1,219452588,219453288,peakno_469-ARBS
chr1,219541944,219542644,peakno_470-ARBS
chr1,219694536,219695236,peakno_471-ARBS
chr1,220907694,220908394,peakno_472-ARBS
chr1,220958326,220959026,peakno_473-ARBS
chr1,221567224,221567924,peakno_474-ARBS
chr1,222183457,222184157,peakno_646-ARBS
chr1,222796020,222796720,peakno_647-ARBS
chr1,223119624,223120324,peakno_648-ARBS
chr1,223355518,223356218,peakno_649-ARBS
chr1,224464706,224465406,peakno_650-ARBS
chr1,224504896,224505596,peakno_653-ARBS
chr1,224827547,224828247,peakno_654-ARBS
chr1,225881702,225882402,peakno_655-ARBS
chr1,225960141,225960841,peakno_735-ARBS
chr1,226078648,226079348,peakno_738-ARBS
chr1,227008845,227009545,onlynormal_read_276-ARBS
chr1,227204528,227205228,peakno_745-ARBS
chr1,227531829,227532529,peakno_749-ARBS
chr1,228863927,228864627,peakno_752-ARBS
chr1,228940640,228941340,overlapped_read_676-ARBS
chr1,229038696,229039396,peakno_753-ARBS
chr1,229343998,229344698,peakno_1770-ARBS
chr1,229357143,229357843,peakno_754-ARBS
chr1,229365414,229366114,overlapped_read_677-ARBS
chr1,229409390,229410090,peakno_755-ARBS
chr1,230321607,230322307,overlapped_read_678-ARBS
chr1,231820053,231820753,overlapped_read_679-ARBS
chr1,232840349,232841049,onlynormal_read_278-ARBS
chr1,232900215,232900915,overlapped_read_681-ARBS
chr1,232915948,232916648,peakno_1035-ARBS
chr1,233161036,233161736,peakno_1038-ARBS
chr1,233712901,233713601,peakno_1039-ARBS
chr1,233840518,233841218,peakno_1040-ARBS
chr1,234033054,234033754,peakno_815-ARBS
chr1,234182644,234183344,overlapped_read_682-ARBS
chr1,234243220,234243920,peakno_1044-ARBS
chr1,234588185,234588885,peakno_1045-ARBS
chr1,234859588,234860288,overlapped_read_3-ARBS
chr1,234997300,234998000,peakno_1049-ARBS
chr1,235053738,235054438,peakno_1050-ARBS
chr1,235096206,235096906,peakno_1051-ARBS
chr1,235132864,235133564,onlynormal_read_295-ARBS
chr1,235183702,235184402,onlynormal_read_296-ARBS
chr1,235572208,235572908,peakno_1055-ARBS
chr1,236471994,236472694,peakno_1059-ARBS
chr1,236496330,236497030,peakno_1060-ARBS
chr1,236552466,236553166,peakno_1061-ARBS
chr1,240046728,240047428,peakno_1443-ARBS
chr1,242406396,242407096,peakno_1458-ARBS
chr1,243862046,243862746,peakno_1469-ARBS
chr1,243954912,243955612,peakno_881-ARBS
chr1,243997472,243998172,peakno_1470-ARBS
chr1,244065236,244065936,peakno_1485-ARBS
chr1,244825808,244826508,peakno_1486-ARBS
chr1,245179706,245180406,peakno_1943-ARBS
chr1,245406120,245406820,peakno_1487-ARBS
chr1,245564410,245565110,peakno_1492-ARBS
chr1,246162795,246163495,peakno_1493-ARBS
chr1,246771896,246772596,overlapped_read_703-ARBS
chr1,246780814,246781514,peakno_1505-ARBS
chr1,248093576,248094276,peakno_2902-ARBS
chr1,111000189,111000889,NegativeControl-AR_motif_1329
chr1,236179216,236179916,NegativeControl-AR_motif_2427
chr1,95009533,95010233,NegativeControl-AR_motif_1157
chr1,92267147,92267847,NegativeControl-AR_motif_1134
chr1,230996724,230997424,NegativeControl-AR_motif_2368
chr1,98165014,98165714,NegativeControl-AR_motif_1195
chr1,205171432,205172132,NegativeControl-AR_motif_2082
chr1,32912856,32913556,NegativeControl-AR_motif_425
chr1,229344825,229345525,NegativeControl-AR_motif_2345
chr1,49776948,49777648,NegativeControl-AR_motif_625
chr1,68523311,68524011,NegativeControl-AR_motif_877
chr1,203109967,203110667,NegativeControl-AR_motif_2050
chr1,164258673,164259373,NegativeControl-AR_motif_1680
chr1,2186505,2187205,NegativeControl-AR_motif_29
chr1,199003558,199004258,NegativeControl-AR_motif_2012
chr1,20048999,20049699,NegativeControl-AR_motif_256
chr1,16952491,16953191,NegativeControl-AR_motif_210
chr1,99073406,99074106,NegativeControl-AR_motif_1207
chr1,44535119,44535819,NegativeControl-AR_motif_562
chr1,18172980,18173680,NegativeControl-AR_motif_234
chr1,24981708,24982408,NegativeControl-AR_motif_326
chr1,111911241,111911941,NegativeControl-AR_motif_1344
chr1,74599026,74599726,NegativeControl-AR_motif_937
chr1,98263208,98263908,NegativeControl-AR_motif_1198
chr1,111436500,111437200,NegativeControl-AR_motif_1338
chr1,5156004,5156704,NegativeControl-AR_motif_75
chr1,25004396,25005096,NegativeControl-AR_motif_327
chr1,193606742,193607442,NegativeControl-AR_motif_1963
chr1,27957391,27958091,NegativeControl-AR_motif_370
chr1,9666753,9667453,NegativeControl-AR_motif_135
chr1,31653497,31654197,NegativeControl-AR_motif_410
chr1,159549716,159550416,NegativeControl-AR_motif_1639
chr1,96990994,96991694,NegativeControl-AR_motif_1184
chr1,162072653,162073353,NegativeControl-AR_motif_1657
chr1,186858687,186859387,NegativeControl-AR_motif_1907
chr1,182113040,182113740,NegativeControl-AR_motif_1861
chr1,99778654,99779354,NegativeControl-AR_motif_1213
chr1,40410116,40410816,NegativeControl-AR_motif_514
chr1,31261280,31261980,NegativeControl-AR_motif_403
chr1,46943844,46944544,NegativeControl-AR_motif_583
chr1,230554200,230554900,NegativeControl-AR_motif_2360
chr1,166976256,166976956,NegativeControl-AR_motif_1716
chr1,82458461,82459161,NegativeControl-AR_motif_1018
chr1,155857491,155858191,NegativeControl-AR_motif_1594
chr1,165548853,165549553,NegativeControl-AR_motif_1701
chr1,98095558,98096258,NegativeControl-AR_motif_1194
chr1,173947603,173948303,NegativeControl-AR_motif_1783
chr1,2226082,2226782,NegativeControl-AR_motif_30
chr1,86000290,86000990,NegativeControl-AR_motif_1062
chr1,58342690,58343390,NegativeControl-AR_motif_735
chr1,99698831,99699531,NegativeControl-AR_motif_1211
chr1,68748028,68748728,NegativeControl-AR_motif_884
chr1,210013434,210014134,NegativeControl-AR_motif_2140
chr1,121224542,121225242,NegativeControl-AR_motif_1442
chr1,95609692,95610392,NegativeControl-AR_motif_1170
chr1,147880273,147880973,NegativeControl-AR_motif_1515
chr1,80468421,80469121,NegativeControl-AR_motif_999
chr1,165542955,165543655,NegativeControl-AR_motif_1700
chr1,90665121,90665821,NegativeControl-AR_motif_1108
chr1,73099299,73099999,NegativeControl-AR_motif_929
chr1,14288326,14289026,NegativeControl-AR_motif_179
chr1,204250969,204251669,NegativeControl-AR_motif_2068
chr1,220746417,220747117,NegativeControl-AR_motif_2257
chr1,99770337,99771037,NegativeControl-AR_motif_1212
chr1,164852839,164853539,NegativeControl-AR_motif_1688
chr1,177178839,177179539,NegativeControl-AR_motif_1806
chr1,22657998,22658698,NegativeControl-AR_motif_293
chr1,234113995,234114695,NegativeControl-AR_motif_2406
chr1,211371396,211372096,NegativeControl-AR_motif_2152
chr1,19753689,19754389,NegativeControl-AR_motif_255
chr1,209880739,209881439,NegativeControl-AR_motif_2136
chr1,48011176,48011876,NegativeControl-AR_motif_592
chr1,5759118,5759818,NegativeControl-AR_motif_87
chr1,223408245,223408945,NegativeControl-AR_motif_2279
chr1,18656975,18657675,NegativeControl-AR_motif_245
chr1,242787195,242787895,NegativeControl-AR_motif_2496
chr1,41284692,41285392,NegativeControl-AR_motif_528
chr1,206187416,206188116,NegativeControl-AR_motif_2091
chr1,7393154,7393854,NegativeControl-AR_motif_105
chr1,54123457,54124157,NegativeControl-AR_motif_679
chr1,81993445,81994145,NegativeControl-AR_motif_1015
chr1,66444674,66445374,NegativeControl-AR_motif_843
chr1,104865669,104866369,NegativeControl-AR_motif_1260
chr1,55918860,55919560,NegativeControl-AR_motif_704
chr1,3284247,3284947,NegativeControl-AR_motif_50
chr1,108511012,108511712,NegativeControl-AR_motif_1294
chr1,110447013,110447713,NegativeControl-AR_motif_1318
chr1,229709054,229709754,NegativeControl-AR_motif_2347
chr1,243295823,243296523,NegativeControl-AR_motif_2504
chr1,65430260,65430960,NegativeControl-AR_motif_833
chr1,81079575,81080275,NegativeControl-AR_motif_1009
chr1,224649411,224650111,NegativeControl-AR_motif_2291
chr1,195859181,195859881,NegativeControl-AR_motif_1984
chr1,90390824,90391524,NegativeControl-AR_motif_1104
chr1,1371988,1372688,NegativeControl-AR_motif_17
chr1,197813185,197813885,NegativeControl-AR_motif_2001
chr1,194363683,194364383,NegativeControl-AR_motif_1968
chr1,206096050,206096750,NegativeControl-AR_motif_2090
chr1,69323840,69324540,NegativeControl-AR_motif_890
chr1,104157178,104157878,NegativeControl-AR_motif_1247
chr1,167209720,167210420,NegativeControl-AR_motif_1720
chr1,177347559,177348259,NegativeControl-AR_motif_1808
chr1,167347954,167348654,NegativeControl-AR_motif_1722
